   0.000,  10.000,   5.000
   0.100,  10.400,   5.502
   0.200,  10.800,   5.808
   0.300,  11.200,   5.918
   0.400,  11.600,   5.832
   0.500,  12.000,   5.550
   0.600,  12.400,   5.072
   0.700,  12.800,   4.398
   0.800,  13.200,   3.528
   0.900,  13.600,   2.462
   1.000,  14.000,   1.200
   1.100,  14.400,  -0.258
   1.200,  14.800,  -1.912
   1.300,  15.200,  -3.762
   1.400,  15.600,  -5.808
   1.500,  16.000,  -8.050
   1.600,  16.400, -10.488
   1.700,  16.800, -13.122
   1.800,  17.200, -15.952
   1.900,  17.600, -18.978
